Aggieland Cycling,"1705 Valley View Drive, Texas, College Station, 77840-1728",,(979) 696-9490,aggcycling.custserv@gmail.com,Sun: 12:00 PM - 5:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 10:00 AM - 6:00 PM;
The Bear Mountain,"4425 West Waco Drive, Texas, Waco, 76710-7044",,254-235-0788,matthew@thebearmountain.com,Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 10:00 AM - 5:00 PM;
Bike Barn-Katy,"629 Mason Road, Texas, Katy, 77450-3419",,281-492-7433,katy@bikebarn.com,Sun: 12:00 PM - 5:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 10:00 AM - 6:00 PM;
Bike Barn - Cypress,"25807 Northwest Freeway, Texas, Cypress, 77429",,281-213-3791,cypress@bikebarn.com,Sun: 12:00 PM - 5:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 10:00 AM - 6:00 PM;
Society Cycle Works,"13425 Universtiy Boulevard, Suite 100, Texas, Sugar Land, 77479",,281-201-2091,info@societycycleworks.com,Sun: 12:00 PM - 5:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 10:00 AM - 5:00 PM;
Bike Barn Westchase,"11105 Westheimer, Suite A, Texas, Houston, 77042",,281-558-2234,westchase@bikebarn.com,Sun: 12:00 PM - 5:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 10:00 AM - 6:00 PM;
Northwest Cyclery,"17458 Northwest Freeway, Texas, Houston, 77040-1002",,713-466-1240,james@svbikes.com,Sun: 12:00 PM - 4:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 10:00 AM - 5:00 PM;
Randy's Bike & Run Shop,"1717 South Oakes Street, Texas, San Angelo, 76903-8510",,325-655-1605,randysbike@gmail.com,Mon: 9:00 AM - 6:00 PM;Tue: 9:00 AM - 6:00 PM;Wed: 9:00 AM - 6:00 PM;Thu: 9:00 AM - 6:00 PM;Fri: 9:00 AM - 6:00 PM;Sat: 9:00 AM - 3:00 PM;
Spring Valley Cycles,"9414 Gaylord, Texas, Houston, 77024-3034",,713-464-8277,jim@svbikes.com,Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 10:00 AM - 5:00 PM;
Southwest Cycleries,"6607 South Braeswood, Texas, Houston, 77096-3611",,713-777-5333,james@svbikes.com,Sun: 12:00 PM - 4:00 PM;Mon: 9:30 AM - 7:00 PM;Tue: 9:30 AM - 7:00 PM;Wed: 9:30 AM - 7:00 PM;Thu: 9:30 AM - 7:00 PM;Fri: 9:30 AM - 7:00 PM;Sat: 9:30 AM - 5:00 PM;
Bicycle Sport Shop,"3200 Guadalupe Suite C, Texas, Austin, 78705",,,marty_m@bicyclesportshop.com,Sun: 11:00 AM - 5:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 9:00 AM - 6:00 PM;
Bicycle Sport Shop,"10947 Research, Texas, Austin, 78759-3234",,512-345-7460,info@bicyclesportshop.com,Sun: 11:00 AM - 5:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 9:00 AM - 6:00 PM;
Bicycle Sport Shop,"9900 Parmer Lane, Texas, Austin, 78717",,512-637-6890,info@bicyclesportshop.com,Sun: 11:00 AM - 5:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 9:00 AM - 6:00 PM;
Bill's Bikes,"505 East North Street, Texas, Victoria, 77901-6643",,361-575-6036,billsbikes@att.net,
Tri-City Bicycles,"1010 Arbor Park Dr Suite C, Texas, Belton, 76513",,254-933-7151,welchc01@live.com,Tue: 10:00 AM - 6:00 PM;Wed: 10:00 AM - 6:00 PM;Thu: 10:00 AM - 6:00 PM;Fri: 10:00 AM - 6:00 PM;Sat: 10:00 AM - 5:00 PM;
Bay Area Bicycles,"6020 South Padre Island Drive, Texas, Corpus Christi, 78412-3914",,361-993-7000,tom@bayareabicyclescctx.com,Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 9:00 AM - 5:00 PM;
Pro Bike,"5603 San Dario Suite 2, Texas, Laredo, 78041-3031",,956-726-3469,trek@probikelaredo.com,Mon: 10:00 AM - 6:30 PM;Tue: 10:00 AM - 6:30 PM;Wed: 10:00 AM - 6:30 PM;Thu: 10:00 AM - 6:30 PM;Fri: 10:00 AM - 6:30 PM;Sat: 10:00 AM - 6:30 PM;
Aggieland Cycling,"817 Texas Avenue, Texas, College Station, 77840-1728",,979-696-9490,aggcycling.custserv@gmail.com,Mon: 10:00 AM - 6:00 PM;Tue: 10:00 AM - 6:00 PM;Wed: 10:00 AM - 6:00 PM;Thu: 10:00 AM - 6:00 PM;Fri: 10:00 AM - 6:00 PM;Sat: 10:00 AM - 5:00 PM;
Cycles Etc,"2151 Harvey Mitchell Pkwy, Suite 109, Texas, College Station, 77840-1353",,979-764-5974,bicyclethings@yahoo.com,
Bike Barn-College Station,"2307 Texas Ave, Texas, College Station, 77840",,979-383-2308,collegestation@bikebarn.com,Sun: 12:00 PM - 5:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 10:00 AM - 6:00 PM;
Bike World,"5911 Broadway Street, Texas, San Antonio, 78209-5235",,210-828-5558,info@bikeworld.com,Sun: 12:00 PM - 5:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 10:00 AM - 6:00 PM;
Bike World,"300 East Grayson, Texas, San Antonio, 78215-1219",,210-222-1969,christopher.gracia@bikeworld.com,Sun: 12:00 PM - 5:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 10:00 AM - 6:00 PM;
Bike World,"15675 San Pedro Ave, Texas, San Antonio, 78232",,210-892-0123,info@bikeworld.com,Sun: 12:00 AM - 5:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 10:00 AM - 6:00 PM;
Bike World,"835 SE military Drive, Texas, San Antonio, 78214",,210-451-8525,info@bikeworld.com,Sun: 12:00 PM - 5:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 10:00 AM - 6:00 PM;
Pedal Power Bicycles,"2617 South IH 35, Texas, San Marcos, 78666-5714",,512-396-7433,pedalpowercustomercare@gmail.com,Sun: 12:00 PM - 5:00 PM;Mon: 10:00 AM - 6:00 PM;Tue: 10:00 AM - 6:00 PM;Wed: 10:00 AM - 6:00 PM;Thu: 10:00 AM - 6:00 PM;Fri: 10:00 AM - 6:00 PM;Sat: 10:00 AM - 6:00 PM;
Hill Country Bicycle Works Inc,"141 West Water Street, Suite A200, Texas, Kerrville, 78028-5271",,830-896-6864,hillbike@ktc.com,Mon: 10:00 AM - 6:00 PM;Tue: 10:00 AM - 6:00 PM;Wed: 10:00 AM - 6:00 PM;Thu: 10:00 AM - 6:00 PM;Fri: 10:00 AM - 6:00 PM;Sat: 10:00 AM - 4:00 PM;
"Hill Country Bicycle Works, Inc.","702 East Main, Texas, Fredericksburg, 78624-4815",,830-990-2609,hillbike@ktc.com,Mon: 10:00 AM - 6:00 PM;Tue: 10:00 AM - 6:00 PM;Thu: 10:00 AM - 6:00 PM;Fri: 10:00 AM - 6:00 PM;Sat: 10:00 AM - 4:00 PM;
Bicycle Sport Shop,"12005 Bee Cave Road, Texas, Austin, 78738",,512-634-8844,info@bicyclesportshop.com,Sun: 11:00 AM - 5:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 9:00 AM - 6:00 PM;
Bicycle Sport Shop,"517 S Lamar Blvd, Texas, Austin, 78704",,512-477-3472,info@bicyclesportshop.com,Sun: 11:00 AM - 5:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 9:00 AM - 6:00 PM;
Mellow Johnny's Bike Shop,"400 Nueces Street, Texas, Austin, 78701-4283",,512-473-0222,sales@mellowjohnnys.com,Sun: 8:00 AM - 5:00 PM;Mon: 7:00 AM - 7:00 PM;Tue: 7:00 AM - 7:00 PM;Wed: 7:00 AM - 7:00 PM;Thu: 7:00 AM - 7:00 PM;Fri: 7:00 AM - 7:00 PM;Sat: 7:00 AM - 6:00 PM;
Cycle Alaska,"1107 West 8th, Alaska, Juneau, 99801",,907-780-2253,briswan20@yahoo.com,Tue: 10:00 AM - 6:00 PM;Wed: 10:00 AM - 6:00 PM;Thu: 10:00 AM - 6:00 PM;Fri: 10:00 AM - 6:00 PM;Sat: 9:00 AM - 5:00 PM;
Life Cyclery,"402 N. 2nd Street, Alaska, Petersburg, 99833",,907-650-7387,seawind@gci.net,Tue: 12:00 PM - 5:00 PM;Wed: 12:00 PM - 5:00 PM;Thu: 12:00 PM - 5:00 PM;Fri: 12:00 PM - 5:00 PM;Sat: 12:00 PM - 4:00 PM;
Ruckus Skis Boards and Bikes,"3110 15th Avenue, Prince George, V2M 3A5",,,ruckus@live.ca,Sun: 11:00 AM - 4:00 PM;Mon: 10:00 AM - 6:00 PM;Tue: 10:00 AM - 6:00 PM;Wed: 10:00 AM - 6:00 PM;Thu: 10:00 AM - 6:00 PM;Fri: 10:00 AM - 6:00 PM;Sat: 9:00 AM - 6:00 PM;
Ernie'S Sports Experts,"9600-93RD Avenue, Fort St. John, V1J 5Z2",,250-785-7771,info@ernies.com,
Trail Bicycles,"1999 Lake Trail Road, Courtenay, V9N 9C3",,250-334-2456,shop@trailbicycles.ca,Tue: 10:00 AM - 5:30 PM;Wed: 10:00 AM - 5:30 PM;Thu: 10:00 AM - 5:30 PM;Fri: 10:00 AM - 5:30 PM;Sat: 10:00 AM - 5:30 PM;
Suncoast Cycles,"9410 Highway 101, Powell River, V8A 0J3",,487-1111,mail@suncoastcycles.com,Mon: 11:00 AM - 6:00 PM;Tue: 11:00 AM - 6:00 PM;Wed: 11:00 AM - 6:00 PM;Thu: 11:00 AM - 6:00 PM;Fri: 11:00 AM - 6:00 PM;Sat: 9:00 AM - 6:00 PM;
Fineline Ride Shop,"#3-1040 Millar Creek Road, Whistler, V0N 1B1",,604-935-3463,finelinewhistler@yahoo.ca,Mon: 10:00 AM - 5:30 PM;Tue: 10:00 AM - 5:30 PM;Wed: 10:00 AM - 5:30 PM;Thu: 10:00 AM - 5:30 PM;Fri: 10:00 AM - 5:30 PM;Sat: 10:00 AM - 5:30 PM;
Summit Sport,"118-4293 Mountain Square, Whistler, V0N 1B4",,932-6225,ian@summitsport.com,
Ernie'S Sports Experts,"11500 100Th Street, Grande Prairie, T8V 4C2",,250-785-7771,info@ernies.com,Sun: 12:00 PM - 5:00 PM;Mon: 9:00 AM - 6:00 PM;Tue: 9:00 AM - 6:00 PM;Wed: 9:00 AM - 6:00 PM;Thu: 9:00 AM - 9:00 PM;Fri: 9:00 AM - 9:00 PM;Sat: 9:00 AM - 6:00 PM;
Trek Bicycle Store of Anchorage,"530 East Benson Boulevard, Unit 9C, Alaska, Anchorage, 99503-4155",,907 743-6000,,Sun: 11:00 AM - 5:00 PM;Mon: 10:00 AM -
